word,freq
﻿,1
패스트,5
트랙,5
(,3
신속,1
처리,1
안건,1
),3
과정,1
에서,3
발생,1
한,3
갈등,1
을,17
해소,1
하고,5
여야,2
3,1
당,8
원내대표,6
가,5
',8
호프,3
회,2
동,2
가지면서,1
국회,12
정상화,7
기류,1
를,17
형성,2
했지만,3
자유,1
한국,6
은,6
더불어,1
민주당,7
의,18
사과,2
있어야,3
가능하다는,1
입장,2
이다,4
.,20
열쇠,1
는,7
쥐,1
게,1
된,2
모양새,1
다,2
나경원,1
최근,1
선출,1
이인영,1
",",4
오,1
신,1
환,1
바른,1
미래,1
와,4
만나,1
가졌다,1
하지만,1
에는,3
공감,1
대,1
합의,1
안,3
도출,1
다가가지,1
못,1
했다,7
요건,1
으로,4
Δ,3
선거법,4
·,6
고위,2
공직자,2
범죄수사,1
처,4
공,3
수,6
법,1
검,2
경,2
수사권,3
조,1
정안,2
철회,1
사법,4
개혁,4
논의,6
포함,1
등,3
주장,1
있다,5
연동,1
형,1
비례대표제,2
에,12
반발,1
해,3
국회의원,1
정족수,1
10%,1
줄,1
이고,1
대표,1
하는,4
내용,2
담은,2
개정안,1
발의,1
으로는,1
경찰,1
기소권,1
과,3
사,1
통제,1
권,1
검찰,1
부여,1
검사,1
직접,1
수사,1
대폭,1
축소,1
조정,1
안이,1
경우,1
대통령,2
홍위병,1
이,8
될,1
있으므로,1
상설,1
특검,1
활성화,1
비리,1
문제,1
해결,1
해야,2
한다는,2
것,4
여기,1
지,1
정치,1
특별,2
위원회,2
폐지,1
까지,1
거론,1
되고,1
있는,2
상황,2
인,1
데,1
추경,1
촉구,1
문재인,1
대립,1
각,1
세우고,1
영국,1
주간지,1
이코노미스트,1
신독재,2
4,2
단계,2
카리스마,2
내,1
세운,1
집권,3
-,3
이후,1
적,4
찾아내기,1
언론,1
권력,2
기관,2
장악,2
선거,1
제,1
개편,1
인용,1
정부,1
여당,3
강하게,1
압박,1
탄핵,1
국민,1
촛불,1
이라는,1
내세워,2
2년,1
동안,1
적폐,1
청산,1
몰두했다는,1
함께,2
마지막,1
로,1
통한,1
개정,1
하려고,1
지적,1
회동,1
간,1
대화,1
물꼬,1
틀었다는,1
점,1
에서는,2
긍정,1
이지만,1
현,1
험로,1
예상,1
된다,1
나,1
"""",10
적어도,2
유감,1
표시,1
한다,5
태워진,1
법안,1
대해,3
서는,2
처음,1
부터,1
한다고,1
말,2
며,2
열기,1
위,2
해서는,1
이런,1
부분,2
대한,3
확실한,1
의사,1
표명,1
파행,1
시킨,1
책임,2
짚고,1
넘어가야,1
장기,1
잘,2
돌아갈,1
고,4
강조,1
이어,1
미,1
봉,1
해서,1
여,1
만이,1
능사,1
아니다,1
언급,1
그런,1
쪽,1
올인,1
이끌어,1
가기,1
어려운,1
도,1
우리,1
요구사항,1
알,1
있다고,1
생각,1
국정,1
라면,1
해법,1
내놓아야,1
설명,1
정개특위,1
사개특위,1
실질,1
제대로,1
되려면,1
기존,1
틀,1
활발하게,1
되기,1
어렵다고,1
판단,1
